dataset,system,seed,epoch,step,loss,started_at_utc
ade,eae,42,1,455,0.00286,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,460,0.00382,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,465,0.02233,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,470,9e-05,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,475,0.00452,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,480,0.06723,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,485,0.00064,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,490,0.05839,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,495,0.00882,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,500,0.04077,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,505,0.00086,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,510,0.0011,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,515,0.00023,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,520,0.00056,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,525,8e-05,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,530,0.00327,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,535,0.0082,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,540,2e-05,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,545,0.00277,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,550,0.0033,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,555,0.00056,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,560,0.00304,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,565,0.00956,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,570,0.0061,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,575,0.01345,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,580,0.00749,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,585,0.03909,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,590,0.00696,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,595,0.00017,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,600,0.01046,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,605,0.00759,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,610,0.01077,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,615,0.00408,2026-09-04T08:54:54.422954+00:00
ade,eae,42,1,620,0.00011,2026-09-04T08:54:54.422954+00:00
